시도,기초단체장단위,8회당선정당,민주-국힘격차(%p),1·2위격차(%p),민주득표율,국힘득표율,8회사전(%),9회사전(%),사전증감(%p),8회접전(±10),텃밭거스름
전라남도,구례군,더불어민주당,54.73,22.32,54.73,0.0,40.75,50.44,9.69,,
부산광역시,해운대구,국민의힘,-22.66,22.66,38.67,61.33,17.94,20.62,2.68,,
서울특별시,용산구,국민의힘,-23.34,23.34,37.34,60.68,21.69,24.25,2.56,,
충청남도,부여군,더불어민주당,24.06,24.06,62.03,37.97,29.59,29.5,-0.09,,
부산광역시,금정구,국민의힘,-24.08,24.08,37.96,62.04,21.32,23.07,1.75,,
경상남도,양산시,국민의힘,-24.13,24.13,35.7,59.83,15.36,18.51,3.15,,
부산광역시,부산진구,국민의힘,-24.44,24.44,37.78,62.22,18.37,20.74,2.37,,
전라남도,완도군,더불어민주당,62.36,24.72,62.36,0.0,38.05,49.57,11.52,,
부산광역시,기장군,국민의힘,-25.17,25.17,30.7,55.87,14.58,17.81,3.23,,
전라남도,나주시,더불어민주당,53.87,25.5,58.82,4.95,29.49,38.06,8.57,,
부산광역시,동래구,국민의힘,-25.77,25.77,34.42,60.19,18.25,21.2,2.95,,
부산광역시,사상구,국민의힘,-25.92,25.92,37.04,62.96,17.32,20.61,3.29,,
충청북도,보은군,국민의힘,-26.08,26.08,32.46,58.54,36.69,40.12,3.43,,
경상북도,청송군,국민의힘,-63.49,26.98,0.0,63.49,37.35,34.88,-2.47,,
전라남도,영암군,더불어민주당,44.75,28.09,48.96,4.21,35.03,39.99,4.96,,
강원특별자치도,영월군,국민의힘,-32.29,28.45,21.29,53.58,30.45,31.87,1.42,,
충청남도,논산시,국민의힘,-28.7,28.7,35.65,64.35,22.42,24.82,2.4,,
경기도,가평군,국민의힘,-29.82,29.82,22.52,52.34,25.28,25.75,0.47,,
광주광역시,서구,더불어민주당,65.02,30.04,65.02,0.0,18.41,27.82,9.41,,
강원특별자치도,동해시,국민의힘,-32.12,32.12,24.98,57.1,23.57,26.13,2.56,,
울산광역시,남구,국민의힘,-32.34,32.34,33.83,66.17,18.12,21.0,2.88,,
경기도,여주시,국민의힘,-33.36,33.36,33.32,66.68,22.64,23.56,0.92,,
경상남도,함안군,국민의힘,-34.86,34.86,32.57,67.43,25.13,28.31,3.18,,
부산광역시,중구,국민의힘,-34.95,34.95,29.94,64.89,21.78,22.36,0.58,,
부산광역시,서구,국민의힘,-35.2,35.2,30.24,65.44,21.31,22.87,1.56,,
대구광역시,서구,국민의힘,-67.86,35.72,0.0,67.86,17.35,18.33,0.98,,
전라남도,신안군,더불어민주당,69.19,38.38,69.19,0.0,48.76,61.31,12.55,,
경상북도,칠곡군,국민의힘,-38.61,38.61,24.38,62.99,17.22,17.42,0.2,,
경상북도,울릉군,무소속,-30.29,39.42,0.0,30.29,47.09,40.81,-6.28,,Y
경상남도,사천시,국민의힘,-40.63,40.63,22.37,63.0,26.51,28.04,1.53,,
서울특별시,강남구,국민의힘,-40.8,40.8,29.6,70.4,18.6,19.09,0.49,,
전북특별자치도,진안군,더불어민주당,61.7,41.51,61.7,0.0,44.26,52.33,8.07,,
서울특별시,서초구,국민의힘,-41.76,41.76,29.12,70.88,20.09,20.88,0.79,,
경상북도,의성군,무소속,-28.72,42.56,0.0,28.72,44.14,36.62,-7.52,,Y
경상북도,구미시,국민의힘,-43.37,43.37,26.92,70.29,15.87,17.84,1.97,,
부산광역시,수영구,국민의힘,-43.57,43.57,26.39,69.96,19.22,20.56,1.34,,
경상남도,진주시,국민의힘,-44.66,44.66,27.67,72.33,22.24,26.24,4.0,,
경상북도,안동시,국민의힘,-46.37,45.74,17.67,64.04,24.14,27.25,3.11,,
경상남도,합천군,국민의힘,-51.76,46.24,11.5,63.26,32.41,35.03,2.62,,
경상북도,상주시,국민의힘,-54.9,49.25,13.15,68.05,31.61,28.87,-2.74,,
대구광역시,수성구,국민의힘,-50.54,50.54,24.73,75.27,16.45,20.77,4.32,,
전라남도,화순군,더불어민주당,75.46,50.92,75.46,0.0,30.64,36.93,6.29,,
대구광역시,달성군,국민의힘,-53.25,53.25,16.09,69.34,12.61,17.54,4.93,,
전북특별자치도,익산시,더불어민주당,60.63,53.35,69.98,9.35,21.95,31.4,9.45,,
전라남도,여수시,더불어민주당,66.28,53.45,72.21,5.93,19.31,29.65,10.34,,
전북특별자치도,군산시,더불어민주당,54.35,54.25,68.24,13.89,17.58,30.11,12.53,,
경상북도,포항시,국민의힘,-54.4,54.4,22.8,77.2,17.24,16.54,-0.7,,
대구광역시,동구,국민의힘,-55.1,55.1,22.45,77.55,15.32,19.14,3.82,,
대구광역시,북구,국민의힘,-77.66,55.32,0.0,77.66,14.68,17.43,2.75,,
경상북도,경주시,국민의힘,-57.74,57.74,21.13,78.87,22.41,19.1,-3.31,,
경상남도,밀양시,국민의힘,-78.87,57.74,0.0,78.87,23.81,27.24,3.43,,
전북특별자치도,전주시,더불어민주당,58.59,58.59,74.13,15.54,17.0,29.07,12.07,,
경상북도,봉화군,국민의힘,-58.61,58.61,14.79,73.4,33.0,33.01,0.01,,
광주광역시,동구,더불어민주당,60.8,60.8,80.4,19.6,20.7,32.19,11.49,,
경상북도,영덕군,국민의힘,-80.59,61.18,0.0,80.59,33.31,34.14,0.83,,
경상북도,영양군,국민의힘,-63.0,63.0,18.5,81.5,47.08,40.4,-6.68,,
대구광역시,남구,국민의힘,-63.12,63.12,18.44,81.56,15.28,17.7,2.42,,
경상북도,김천시,국민의힘,-75.07,63.65,0.0,75.07,28.4,27.47,-0.93,,
전라남도,함평군,더불어민주당,67.69,67.69,80.15,12.46,36.0,54.21,18.21,,
광주광역시,남구,더불어민주당,68.14,68.14,84.07,15.93,18.78,29.7,10.92,,
광주광역시,북구,더불어민주당,68.54,68.54,84.27,15.73,18.25,28.68,10.43,,
