sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
부산광역시,남구나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157622, 100156896","허미향, 김철현","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|부산광역시|남구나선거구
부산광역시,동래구가선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158916, 100160902","정상환, 오영진","더불어민주당, 국민의힘",0,0,2,1,0,0,Y,6|부산광역시|동래구가선거구
부산광역시,동래구라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160730, 100161731","이지영, 최순희","더불어민주당, 국민의힘",1,1,1,0,0,0,Y,6|부산광역시|동래구라선거구
부산광역시,부산진구나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100162352, 100163014","오용성, 성낙욱","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|부산광역시|부산진구나선거구
부산광역시,부산진구다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100155185, 100163260","최인희, 조수성","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|부산광역시|부산진구다선거구
부산광역시,부산진구바선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157722, 100161128","이지영, 김진복","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|부산광역시|부산진구바선거구
부산광역시,부산진구사선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100160522, 100161074","최정웅, 김민경","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|부산광역시|부산진구사선거구
부산광역시,수영구가선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158391, 100161144","조선민, 권창환","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|부산광역시|수영구가선거구
부산광역시,금정구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164997, 100165548","임정숙, 권보성","더불어민주당, 국민의힘",2,0,1,0,0,0,Y,9|부산광역시|금정구
부산광역시,동래구,기초의원비례,비례,9,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164404, 100164427","노은정, 안선영","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,9|부산광역시|동래구
