huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100160778,함용빈,국민의힘,구시군의회의원,강원특별자치도 고성군나선거구,강원특별자치도,고성군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160778,116,12만원,0,음주·위험운전; 도로교통,음주·위험운전
100161194,이명기,무소속,구시군의회의원,경상북도 김천시나선거구,경상북도,김천시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161194,116,12만원,0,음주·위험운전; 도로교통,음주·위험운전
100159635,최광호,더불어민주당,구시군의회의원,전북특별자치도 완주군나선거구,전북특별자치도,완주군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159635,116,12만원,0,도로교통,
100158442,최선남,국민의힘,구시군의회의원,강원특별자치도 양양군가선거구,강원특별자치도,양양군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158442,115,12만원,0,횡령; 보조금,횡령; 보조금
100155057,최재희,진보당,구시군의회의원,서울특별시 구로구다선거구,서울특별시,구로구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155057,115,12만원,0,폭력; 업무방해; 재물손괴; 집시법,
100163169,전찬성,더불어민주당,시도의원,강원특별자치도 원주시제9선거구,강원특별자치도,원주시제9선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163169,114,11만원,0,음주·위험운전; 무면허운전; 교통사고; 보험·금융; 도로교통,음주·위험운전; 무면허운전
100159102,김재현,무소속,구시군의회의원,충청북도 괴산군다선거구,충청북도,괴산군다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159102,113,11만원,0,음주·위험운전; 도로교통,음주·위험운전
100165365,이영숙,더불어민주당,기초의원비례,경상남도 김해시,경상남도,김해시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165365,111,11만원,0,음주·위험운전; 교통사고,음주·위험운전
100159143,최규술,국민의힘,구시군의회의원,인천광역시 검단구다선거구,인천광역시,검단구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159143,110,11만원,0,교통사고; 도로교통,
100157248,정규민,국민의힘,구시군의회의원,강원특별자치도 강릉시마선거구,강원특별자치도,강릉시마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157248,108,11만원,0,도로교통,
