sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
191,R,D,R,R,D,R,R,R,D,R,R,R,D,D,D,D,R
192,D,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
193,D,R,R,R,D,R,R,R,D,D,R,D,D,D,D,R,R
194,R,R,D,R,D,D,D,D,D,D,R,D,D,D,D,D,D
195,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
196,R,D,D,R,D,R,D,R,D,D,R,D,D,D,D,D,D
197,R,R,R,R,D,R,D,R,D,D,R,R,D,D,D,R,R
198,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,D,D
199,R,D,R,R,D,R,R,R,R,D,R,R,D,D,R,R,D
200,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,R,D
201,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
202,R,D,R,R,D,R,D,D,R,R,R,D,D,D,R,R,R
203,D,R,R,R,D,R,D,R,R,D,R,D,D,D,R,R,R
204,R,D,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
205,D,R,R,R,D,R,D,R,R,R,R,R,D,D,D,R,R
206,D,D,R,R,D,R,D,R,D,D,R,D,D,D,D,R,R
207,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
208,D,D,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
209,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
210,D,D,R,R,D,R,D,R,D,D,R,D,D,D,D,D,R
211,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,D
212,D,R,R,R,D,R,R,R,R,R,R,R,D,D,D,R,R
213,D,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
214,D,D,D,R,D,D,D,R,D,D,R,D,D,D,D,D,D
215,R,R,R,R,D,R,R,R,D,D,D,R,D,R,R,R,R
216,D,R,R,R,D,R,R,R,R,R,R,R,D,D,D,D,R
217,R,R,R,R,D,R,R,R,D,R,R,R,D,D,D,D,R
218,R,R,R,R,D,R,D,R,R,D,R,D,D,D,D,R,R
219,R,R,D,R,D,R,R,R,D,D,R,R,D,D,R,D,R
220,R,R,R,R,D,R,R,R,R,D,R,D,D,D,R,R,R
221,R,D,R,R,D,R,D,R,R,D,R,D,D,D,D,D,D
222,D,R,D,R,D,D,D,D,D,D,R,D,D,D,D,D,D
223,R,D,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
224,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
225,R,R,R,R,D,R,D,R,R,D,R,R,D,D,D,R,R
226,R,R,R,R,D,R,R,R,D,D,R,R,D,D,D,D,D
227,D,R,R,R,D,R,R,R,D,D,R,R,D,D,D,R,D
228,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
229,R,D,D,R,D,R,D,R,D,D,D,D,D,D,D,D,R
230,D,D,R,R,D,D,D,D,D,D,R,D,D,D,D,D,D
231,D,R,R,R,D,R,R,R,R,R,R,D,D,D,R,R,D
232,R,D,R,R,D,R,R,R,R,R,R,D,D,D,R,R,R
233,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,R,R
234,R,D,R,R,D,R,D,R,D,R,R,R,D,D,R,R,R
235,R,D,R,R,D,R,D,R,D,D,R,D,D,D,D,D,R
236,D,D,R,R,D,R,R,R,D,D,R,D,D,D,R,D,R
237,R,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
238,R,R,R,R,D,R,D,D,R,R,R,D,D,D,D,R,R
239,D,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,D
240,D,D,R,R,D,R,D,D,D,D,D,D,D,D,D,D,D
241,D,D,R,R,D,R,R,R,R,R,R,R,D,D,D,D,D
242,D,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
243,D,D,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
244,R,D,R,R,D,D,R,R,D,D,D,D,D,D,R,D,R
245,R,D,R,R,D,R,R,R,R,D,R,D,D,D,D,R,D
246,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,D,R
