rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
38,100161897,김선옥,더불어민주당,민주당,구시군의회의원,경기도,시흥시가선거구,경기도 시흥시가선거구,3,True,"공직선거법, 횡령","공직선거법, 횡령",횡령,공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,시흥시의회의원,(현)시흥시의회의원,(전)문정복 국회의원 보좌관,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161897,경제·신뢰 전과(횡령); 선거·정치자금 전과(공직선거법)
39,100162986,조복심,더불어민주당,민주당,구시군의회의원,서울특별시,성동구나선거구,서울특별시 성동구나선거구,3,True,"공직선거법, 명예훼손, 배임, 사기, 횡령","공직선거법, 배임, 사기, 횡령","배임, 사기, 횡령",공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,정당인,(전)성동구의회의원,(현)더불어민주당 중구성동구갑지역위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162986,"경제·신뢰 전과(배임, 사기, 횡령); 선거·정치자금 전과(공직선거법)"
40,100160057,이남형,국민의힘,국힘,기초단체장,서울특별시,관악구,서울특별시 관악구,2,True,"공직선거법, 배임","공직선거법, 배임",배임,공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,건설업,(전)7대 서울시의회의원,(현)관악갑 당협위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160057,경제·신뢰 전과(배임); 선거·정치자금 전과(공직선거법)
41,100161382,최병준,국민의힘,국힘,시도의원,경상북도,경주시제3선거구,경상북도 경주시제3선거구,2,True,"도로교통, 허위공문서·문서위조·공용서류",허위공문서·문서위조·공용서류,,,허위공문서·문서위조·공용서류,,,True,True,False,False,True,False,0,0원,0,0원,False,False,False,True,True,경상북도의회의원,(현)경상북도의회 부의장,(전)경주시의회 의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161382,무투표 당선; 공직·문서 전과(허위공문서·문서위조·공용서류)
42,100165302,김경희,더불어민주당,민주당,기초의원비례,경상남도,통영시,경상남도 통영시,1,True,"공직선거법, 횡령","공직선거법, 횡령",횡령,공직선거법,,,,True,True,True,True,False,False,0,0원,0,0원,False,False,True,True,False,회사원,(현)민주평화통일자문회의 자문위원,(현)통영진로교육지원센터팀장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165302,경제·신뢰 전과(횡령); 선거·정치자금 전과(공직선거법)
43,100165548,권보성,국민의힘,국힘,기초의원비례,부산광역시,금정구,부산광역시 금정구,1,True,교통사고,,,,,,,False,False,False,False,False,False,74961,"7,496만원",0,0원,True,False,True,True,True,정당인,(전) 장전1동 지역보장협의체 회장,(전) 금정구 축제위원회 위원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165548,"무투표 당선; 최근 5년 체납 7,496만원"
44,100157901,황소제,더불어민주당,민주당,구시군의회의원,경기도,광주시다선거구,경기도 광주시다선거구,0,False,,,,,,,,False,False,False,False,False,False,44769,"4,476만원",0,0원,True,False,True,True,True,광주시의회의원,(현)광주시의회의원,(전)더불어민주당 경기도당 노동위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157901,"무투표 당선; 최근 5년 체납 4,476만원"
45,100157639,조은희,더불어민주당,민주당,시도의원,전북특별자치도,익산시제2선거구,전북특별자치도 익산시제2선거구,1,True,교통사고,,,,,,,False,False,False,False,False,False,27494,"2,749만원",0,0원,True,False,True,True,True,정치인,(전)제9대 익산시의회의원,(전)제9대 익산시의회운영위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157639,"무투표 당선; 최근 5년 체납 2,749만원"
46,100157479,김선임,더불어민주당,민주당,구시군의회의원,경기도,성남시나선거구,경기도 성남시나선거구,0,False,,,,,,,,False,False,False,False,False,False,12662,"1,266만원",0,0원,True,False,True,True,True,성남시의회의원,(현)제9대 성남시의회의원,(현)더불어민주당 경기도당 다문화위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157479,"무투표 당선; 최근 5년 체납 1,266만원"
47,100163004,장정순,더불어민주당,민주당,구시군의회의원,경기도,용인시아선거구,경기도 용인시아선거구,0,False,,,,,,,,False,False,False,False,False,False,12312,"1,231만원",0,0원,True,False,True,True,True,용인시의회의원,(현)용인시의회의원,(현)더불어민주당 중앙당 정책위원회 부의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163004,"무투표 당선; 최근 5년 체납 1,231만원"
48,100163106,김기환,더불어민주당,민주당,시도의원,제주특별자치도,제주특별자치도 제주시 이도2동갑선거구,제주특별자치도 제주특별자치도 제주시 이도2동갑선거구,0,False,,,,,,,,False,False,False,False,False,False,10242,"1,024만원",0,0원,True,False,True,True,True,제주특별자치도의회의원,(현)제주특별자치도의회 의원,(현)제주특별자치도의회 4.3특별위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163106,"무투표 당선; 최근 5년 체납 1,024만원"
49,100162863,김종보,더불어민주당,민주당,구시군의회의원,서울특별시,종로구라선거구,서울특별시 종로구라선거구,0,False,,,,,,,,False,False,False,False,False,False,9377,937만원,0,0원,True,False,True,True,True,종로구의회의원,(현)종로구의회의원,(전)제21대 대통령선거 후보직속 지방자치특보단 종로본부장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162863,무투표 당선; 최근 5년 체납 937만원
