huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그
100160880,문현섭,국민의힘,구시군의회의원,지역구,서울특별시,강동구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160880,804,804천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100163625,연규식,국민의힘,시도의원,지역구,경상북도,포항시제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163625,785,785천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100160730,이지영,더불어민주당,구시군의회의원,지역구,부산광역시,동래구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160730,677,677천원,677,677천원,없음,,,0,0,Y,Y,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100165544,정소혜,더불어민주당,기초의원비례,비례,전라남도,무안군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165544,618,618천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100164206,서주영,더불어민주당,기초의원비례,비례,인천광역시,남동구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164206,530,530천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100157554,박기범,더불어민주당,구시군의회의원,지역구,경기도,성남시다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157554,525,525천원,0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100163266,전석광,국민의힘,구시군의회의원,지역구,대전광역시,대덕구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163266,500,500천원,0,0천원,1건,음주·위험운전; 도로교통,음주·위험운전,1,1,Y,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100154987,김명숙,진보당,구시군의회의원,지역구,광주광역시,광산구라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154987,499,499천원,0,0천원,1건,도로교통,,0,0,Y,N,Y,N,N,1.00,3,등록후보수_의원정수이하,N,N,Y
100155875,이경민,더불어민주당,구시군의회의원,지역구,강원특별자치도,원주시아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155875,473,473천원,0,0천원,1건,음주·위험운전; 도로교통,음주·위험운전,1,1,Y,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100161196,김세윤,더불어민주당,구시군의회의원,지역구,전라남도,완도군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161196,440,440천원,0,0천원,1건,업무방해,,0,0,Y,N,Y,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
