시도,시군구,등록폴수,최신등록일,조사기관,의뢰자,조사방법,조사명칭,공표여부,결과분석PDF_URL,상세페이지URL
전라남도,광양시,18,2026-05-28,조원씨앤아이,스트레이트뉴스,무선 ARS,전라남도 광양시    기초단체장선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19310&menuNo=200467
전라남도,구례군,3,2026-05-27,(주)코리아정보리서치,광주타임즈,무선 ARS,전라남도 구례군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19162&menuNo=200467
전라남도,나주시,4,2026-04-11,(주)데일리리서치,뉴스티앤티,무선 ARS,전라남도 나주시    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=rg2%2FAWjGQ%2FhUr%2FEWVaKlu%2BD1ExfrOCDas3CuGV2Q294%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=U0lxteV%2BxpI0z0rdPjEyLw%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17834&menuNo=200467
전라남도,담양군,19,2026-05-25,한국정책연구원,"담양곡성타임스, 담양뉴스,담양자치신문",무선 ARS,전라남도 담양군    기초단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19076&menuNo=200467
전라남도,목포시,20,2026-05-27,(주)엠브레인퍼블릭,목포MBC,무선전화면접,"전라남도 목포시    기초단체장선거 목포시장 지지도, 정당 지지도 등",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19212&menuNo=200467
전라남도,무안군,19,2026-05-28,모노커뮤니케이션즈(모노리서치),무안타임스,무선 ARS,전라남도 무안군    기초단체장선거 정당지지도,5/28등록,https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVPjWFatHCuKRmcpavdmpnFw%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=jKHO17mytVJP9VHaICzUDg%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19272&menuNo=200467
전라남도,보성군,5,2026-05-27,(주)코리아정보리서치,프레시안광주전남취재본부,무선 ARS,전라남도 보성군    기초단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19245&menuNo=200467
전라남도,순천시,23,2026-05-28,(주)코리아정보리서치,서울경제티브이,무선 ARS,전라남도 순천시    기초단체장선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19267&menuNo=200467
전라남도,신안군,14,2026-05-27,(주)엠브레인퍼블릭,목포MBC,무선전화면접,"전라남도 신안군    기초단체장선거 신안군수 지지도, 정당 지지도 등",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19213&menuNo=200467
전라남도,여수시,14,2026-05-26,한국갤럽조사연구소,KBS광주방송총국,무선전화면접,전라남도 여수시 기초단체장선거정당지지도 민주당공천평가,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19127&menuNo=200467
전라남도,영광군,13,2026-05-22,(주)이너텍시스템즈,와이티신문,무선 ARS,전라남도 영광군    기초단체장선거 광역단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18935&menuNo=200467
전라남도,영암군,9,2026-04-01,(주)코리아정보리서치,케이저널,무선 ARS,전라남도 영암군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18014&menuNo=200467
전라남도,완도군,17,2026-05-23,모노커뮤니케이션즈(모노리서치),진도투데이,무선 ARS,전라남도 완도군    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=vZ%2BGKNTOkBdagDHWyX5O%2BOZZztH4f5oo1QDDtD2yXFA%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=p4o%2BYxY6b126XOLAEZAKqA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18861&menuNo=200467
전라남도,장성군,16,2026-05-22,(주)시그널앤펄스,장성인뉴스,무선 ARS,전라남도 장성군    기초단체장선거 광역의원선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18953&menuNo=200467
전라남도,장흥군,6,2026-05-16,(주)코리아정보리서치,케이저널,무선 ARS,전라남도 장흥군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18720&menuNo=200467
전라남도,진도군,12,2026-05-27,모노커뮤니케이션즈(모노리서치),진도투데이,무선 ARS,전라남도 진도군    기초단체장선거 광역의원선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVMVh8KRBaRhD5YKWmFXxlng%3D&fileSn=dM42aHTjJcnt4sph3HPenQ%3D%3D&bbsId=B0000005&bbsKey=%2FpQOZxwacKRCI4EaGALxBQ%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19148&menuNo=200467
전라남도,함평군,10,2026-05-25,(주)코리아정보리서치,남도일보,무선 ARS,전라남도 함평군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19030&menuNo=200467
전라남도,해남군,8,2026-03-17,(주)데일리리서치,주간해남신문사,무선 ARS,전라남도 해남군    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=rg2%2FAWjGQ%2FhUr%2FEWVaKlu45vpRaqVJ%2BuADu%2F3XeOfKA%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=%2B2u%2BmLSXhYc0GbJZWCKKSQ%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17732&menuNo=200467
전라남도,화순군,5,2026-03-04,모노커뮤니케이션즈(모노리서치),에버뉴스,무선 ARS,전라남도 화순군    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=BUcRgkjanzw1QtoYmzLbOMGie5er9qREWI7%2BsuQJj3g%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=XotNJpF5rkYdeBs8O6N7dA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17568&menuNo=200467
전북특별자치도,고창군,8,2026-05-12,조원씨앤아이,뉴스1 전북,무선 ARS,전북특별자치도 고창군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18655&menuNo=200467
전북특별자치도,군산시,8,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 군산시    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18021&menuNo=200467
전북특별자치도,김제시,8,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 김제시    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18030&menuNo=200467
전북특별자치도,남원시,16,2026-05-12,조원씨앤아이,뉴스1 전북,무선 ARS,전북특별자치도 남원시    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18658&menuNo=200467
전북특별자치도,무주군,12,2026-04-28,(주)데일리리서치,무주신문,무선 ARS,전북특별자치도 무주군  나선거구  기초단체장선거 기초의원선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=RZb7NiivEAVTNXb6A6Txi3clLYmuviUznt0rxcWU%2BC8%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=OG%2BKI6U51LOjWRqLQeew7g%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18417&menuNo=200467
전북특별자치도,부안군,21,2026-05-23,(주)이너텍시스템즈,부안독립신문,무선 ARS,전북특별자치도 부안군    정당지지도 기초단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18973&menuNo=200467
전북특별자치도,순창군,9,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 순창군    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18024&menuNo=200467
전북특별자치도,완주군,20,2026-05-16,(주)코리아정보리서치,케이저널,무선 ARS,전북특별자치도 완주군    기초단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18736&menuNo=200467
전북특별자치도,익산시,13,2026-04-07,(주)코리아정보리서치,케이저널,무선 ARS,전북특별자치도 익산시    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18126&menuNo=200467
전북특별자치도,임실군,11,2026-04-09,한국정책연구원,디트뉴스24,무선 ARS,전북특별자치도 임실군    기초단체장선거,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18178&menuNo=200467
전북특별자치도,장수군,10,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 장수군    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18026&menuNo=200467
전북특별자치도,전주시,10,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 전주시    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18019&menuNo=200467
전북특별자치도,정읍시,14,2026-05-28,(주)비전코리아,올리서치/포털신문,무선 ARS,전북특별자치도 정읍시    기초단체장선거 정당지지도,5/28등록,,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19265&menuNo=200467
전북특별자치도,진안군,13,2026-04-01,(주)코리아리서치인터내셔널,전주MBC/전북도민일보/(주)프레시안 전북취재본부,무선전화면접,"전북특별자치도 진안군    광역단체장선거 기초단체장선거 교육감선거 정당지지도, 지역 현안 조사",공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18027&menuNo=200467
충청남도,계룡시,8,2026-05-26,(주)리얼미터,굿모닝충청,무선 ARS,충청남도 계룡시    광역단체장선거 기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19135&menuNo=200467
충청남도,공주시,5,2026-05-22,(주)비전코리아,포털신문/올리서치,무선 ARS,충청남도 공주시    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18928&menuNo=200467
충청남도,금산군,8,2026-05-20,(주)코리아정보리서치,시사매거진,무선 ARS,충청남도 금산군    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18890&menuNo=200467
충청남도,논산시,6,2026-05-20,(주)코리아리서치인터내셔널,대전MBC/충청투데이,무선전화면접,충청남도 논산시    기초단체장선거 정당지지도 지역 현안,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18862&menuNo=200467
충청남도,당진시,5,2026-05-25,(주)리서치뷰,당진시대,무선 ARS,충청남도 당진시    기초단체장선거 광역단체장선거 교육감선거 정당지지도 등,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVFTkkyanLGdyqf6acBVzVJw%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=1xOWt2IfUuarr2uShBM7rg%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19069&menuNo=200467
