회차,연도,선거일,선거구명,동,투표구명,분류,선거인수,투표수,유효표_계,무효투표수,기권자수,후보순번,정당,후보명,득표수,득표율_유효표대비
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제4투,box,3023,1985,1976,9,1038,4,자민련,노태석,16,0.81
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제4투,box,3023,1985,1976,9,1038,5,무소속,도희윤,63,3.19
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제5투,box,3076,2172,2163,9,904,1,한나라당,정형근,1224,56.59
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제5투,box,3076,2172,2163,9,904,2,새천년민주당,박희동,17,0.79
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제5투,box,3076,2172,2163,9,904,3,열린우리당,이철,845,39.07
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제5투,box,3076,2172,2163,9,904,4,자민련,노태석,16,0.74
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제5투,box,3076,2172,2163,9,904,5,무소속,도희윤,61,2.82
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제6투,box,2779,1706,1699,7,1073,1,한나라당,정형근,718,42.26
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제6투,box,2779,1706,1699,7,1073,2,새천년민주당,박희동,11,0.65
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제6투,box,2779,1706,1699,7,1073,3,열린우리당,이철,923,54.33
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제6투,box,2779,1706,1699,7,1073,4,자민련,노태석,9,0.53
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제6투,box,2779,1706,1699,7,1073,5,무소속,도희윤,38,2.24
17,2004,2004-04-15,북구·강서구갑,만덕2동,소계,subtotal,16590,11185,11112,73,5405,1,한나라당,정형근,6043,54.38
17,2004,2004-04-15,북구·강서구갑,만덕2동,소계,subtotal,16590,11185,11112,73,5405,2,새천년민주당,박희동,115,1.03
17,2004,2004-04-15,북구·강서구갑,만덕2동,소계,subtotal,16590,11185,11112,73,5405,3,열린우리당,이철,4607,41.46
17,2004,2004-04-15,북구·강서구갑,만덕2동,소계,subtotal,16590,11185,11112,73,5405,4,자민련,노태석,96,0.86
17,2004,2004-04-15,북구·강서구갑,만덕2동,소계,subtotal,16590,11185,11112,73,5405,5,무소속,도희윤,251,2.26
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제1투,box,3172,1973,1960,13,1199,1,한나라당,정형근,998,50.92
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제1투,box,3172,1973,1960,13,1199,2,새천년민주당,박희동,20,1.02
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제1투,box,3172,1973,1960,13,1199,3,열린우리당,이철,872,44.49
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제1투,box,3172,1973,1960,13,1199,4,자민련,노태석,22,1.12
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제1투,box,3172,1973,1960,13,1199,5,무소속,도희윤,48,2.45
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제2투,box,3754,2652,2639,13,1102,1,한나라당,정형근,1606,60.86
17,2004,2004-04-15,북구·강서구갑,만덕3동,만덕3동제2투,box,3754,2652,2639,13,1102,2,새천년민주당,박희동,23,0.87
